,F,I,H,H-tilde,H-tilde_std,N
LINC01772,5.612493332744989e-06,-0.06896551724137989,4.789015477886193,4.720049960644813,0.0,29
AL137802.2,1.5482740228262038e-06,0.0,3.0,3.0,0.0,8
LINC01783,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
NBPF1,3.2900822985056833e-06,0.11764705882352944,3.9698157824268097,4.087462841250339,0.0,17
CROCC,8.128438619837571e-06,0.04761904761904745,5.297079327540666,5.344698375159713,0.0,42
BX284668.5,1.6837479998234968e-05,0.09195402298850563,6.23604694412459,6.328000967113096,0.06896551724136761,87
BX284668.6,1.548274022826204e-05,0.1326205059304595,5.942371495179859,6.074992001110319,0.07193609377708536,80
ATP13A2,1.6450411492528416e-05,-0.038177794092194794,6.20339358314562,6.165215789053425,0.04705882352943477,85
SDHB,5.651200183315644e-05,0.20334242887042997,7.413850457985182,7.617192886855612,0.07934708292403767,292
PADI2,5.9995618384515405e-06,0.2824157258762412,4.671780584510634,4.954196310386875,0.0,31
PADI4,3.0191343445110977e-05,0.569684393610749,6.298925838016539,6.868610231627288,0.06579911863128535,156
PADI6,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
RCC2,4.18033986163075e-05,0.23797011544987878,7.0136229931891405,7.251593108639019,0.021631893444251184,216
ARHGEF10L,1.6450411492528416e-05,0.17203007351668553,6.056449759667114,6.228479833183799,0.06326404413037064,85
ALDH4A1,2.322411034239306e-06,0.0,3.584962500721156,3.584962500721156,0.0,12
IFFO2,9.483178389810499e-06,0.204081632653061,5.369811884931535,5.573893517584596,0.040816326530656456,49
UBR4,5.5931399074596615e-05,0.14137313504846905,7.456282635756553,7.597655770805022,0.08056100158617936,289
AL035413.1,1.935342528532755e-06,0.0,3.321928094887362,3.321928094887362,0.0,10
EMC1,1.5676274481115314e-05,-0.03703703703703631,6.26577592881055,6.228738891773514,0.012345679012023741,81
MRTO4,2.0127562296740652e-05,0.0,6.416691881561025,6.416691881561025,0.03846153846158547,104
AKR7A2,4.4899946661959914e-05,0.11624835031723713,7.257449475591141,7.373697825908378,0.025646841659100816,232
PQLC2,7.3543016084244685e-06,0.05263157894736814,5.037401197654112,5.09003277660148,0.0,38
CAPZB,0.00026417425514472105,0.10301400120530424,8.532250941075144,8.635264942280449,0.012855788033061508,1365
MINOS1,0.00013779638803153215,0.14655635272977463,8.19600273082811,8.342559083557884,0.0024799338206842126,712
NBL1,1.7418082756794795e-06,0.0,3.169925001442312,3.169925001442312,0.0,9
TMCO4,8.321972872690847e-06,0.21808008723445926,5.12963946395411,5.347719551188569,0.03203357560654705,43
OTUD3,2.322411034239306e-06,0.0,3.584962500721156,3.584962500721156,0.0,12
PLA2G2D,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
Z98257.1,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
UBXN10-AS1,1.7418082756794795e-06,0.0,3.169925001442312,3.169925001442312,0.0,9
UBXN10,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
VWA5B1,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
CAMK2N1,3.0965480456524077e-06,0.1875,3.75,3.9375,0.0625,16
MUL1,9.289644136957223e-06,-0.041666666666666075,5.584962500721156,5.54329583405449,0.04166666666657667,48
CDA,8.670334527826742e-05,0.7657495933840126,7.209595933596124,7.975345526980137,0.03890504362255344,448
PINK1,1.7418082756794793e-05,-0.03899750004807778,6.283465457416748,6.24446795736867,0.03060986113523583,90
PINK1-AS,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
DDOST,6.425337194728746e-05,0.15257536756642676,7.558179143656024,7.710754511222451,0.025572966854384604,332
KIF17,9.676712642663775e-07,0.3999999999999999,1.9219280948873623,2.321928094887362,0.0,5
HP1BP3,0.00011147572964348669,-0.014422252711565164,8.217156437367315,8.20273418465575,0.0013494166906953269,576
EIF4G3,3.328789149076339e-05,0.2435303416012129,6.857808722662462,7.101339064263675,0.08358978925049476,172
